patient_id,filename,fold
13918,13918_AV.wav,0
13918,13918_MV.wav,0
13918,13918_PV.wav,0
13918,13918_TV.wav,0
14998,14998_AV.wav,0
14998,14998_MV.wav,0
14998,14998_PV.wav,0
14998,14998_TV.wav,0
2530,2530_AV.wav,0
2530,2530_MV.wav,0
2530,2530_PV.wav,0
2530,2530_TV.wav,0
29378,29378_AV.wav,0
29378,29378_MV.wav,0
36327,36327_AV.wav,0
36327,36327_MV.wav,0
36327,36327_PV.wav,0
36327,36327_TV.wav,0
46579,46579_AV.wav,0
46579,46579_MV.wav,0
46579,46579_PV.wav,0
46579,46579_TV.wav,0
47002,47002_AV.wav,0
47002,47002_MV.wav,0
49568,49568_AV.wav,0
49568,49568_MV.wav,0
49568,49568_PV.wav,0
49568,49568_TV.wav,0
49572,49572_MV.wav,0
49572,49572_PV.wav,0
49572,49572_TV.wav,0
49574,49574_AV.wav,0
49574,49574_MV.wav,0
49574,49574_PV.wav,0
49574,49574_TV.wav,0
49585,49585_AV.wav,0
49585,49585_MV.wav,0
49585,49585_PV.wav,0
49585,49585_TV.wav,0
49622,49622_AV.wav,0
49622,49622_MV.wav,0
49638,49638_AV.wav,0
49638,49638_MV.wav,0
49638,49638_PV.wav,0
49669,49669_MV.wav,0
49669,49669_PV.wav,0
49704,49704_AV.wav,0
49704,49704_MV.wav,0
49712,49712_AV.wav,0
49712,49712_MV.wav,0
49712,49712_PV.wav,0
49712,49712_TV.wav,0
49745,49745_AV.wav,0
49745,49745_MV.wav,0
49745,49745_PV.wav,0
49745,49745_TV.wav,0
49748,49748_AV_1.wav,0
49748,49748_AV_2.wav,0
49748,49748_MV.wav,0
49748,49748_PV_1.wav,0
49748,49748_PV_2.wav,0
49748,49748_TV.wav,0
49761,49761_AV.wav,0
49761,49761_MV.wav,0
49808,49808_MV.wav,0
49808,49808_PV.wav,0
49808,49808_TV.wav,0
49821,49821_AV.wav,0
49821,49821_MV.wav,0
49821,49821_PV.wav,0
49821,49821_TV.wav,0
49823,49823_MV.wav,0
49823,49823_PV.wav,0
49823,49823_TV.wav,0
49829,49829_AV.wav,0
49829,49829_MV.wav,0
49829,49829_PV.wav,0
49829,49829_TV.wav,0
49832,49832_AV.wav,0
49832,49832_MV.wav,0
49839,49839_AV.wav,0
49839,49839_MV.wav,0
49839,49839_PV.wav,0
49839,49839_TV.wav,0
49854,49854_AV.wav,0
49854,49854_MV.wav,0
49854,49854_PV.wav,0
49854,49854_TV.wav,0
49873,49873_AV.wav,0
49873,49873_MV.wav,0
49876,49876_AV.wav,0
49876,49876_MV.wav,0
49876,49876_PV.wav,0
49876,49876_TV.wav,0
49896,49896_AV.wav,0
49896,49896_MV.wav,0
49896,49896_PV.wav,0
